4000
generated by VMD
Au 6.376327 11.651085 -10.037468
Au -14.683492 -5.425581 60.963483
Au 4.461798 13.358752 18.806668
Au 38.923320 -0.302582 63.182262
Au 52.325023 -0.302582 21.025448
Au 48.495965 38.973751 9.931549
Au 27.436146 23.604751 1.056430
Au 8.290856 23.604751 7.712769
Au -16.598021 1.405085 1.056430
Au 19.778030 44.096751 -10.037468
Au 40.837849 32.143085 -5.599909
Au 15.948972 -8.840915 67.619822
Au 17.863501 16.774085 -3.381129
Au 12.119914 -0.302582 58.744703
Au 4.461798 6.528085 7.712769
Au 52.325023 4.820418 58.744703
Au 25.521617 -12.256248 -5.599909
Au 21.692559 -0.302582 -1.162349
Au 50.410494 6.528085 23.244227
Au 48.495965 45.804418 21.025448
Au 8.290856 45.804418 67.619822
Au -3.196318 -7.133248 72.057381
Au 40.837849 -12.256248 49.869584
Au 54.239552 45.804418 16.587888
Au -3.196318 49.219751 63.182262
Au 48.495965 30.435418 21.025448
Au 31.265204 54.342751 74.276161
Au 21.692559 25.312418 67.619822
Au 35.094262 35.558418 9.931549
Au 44.666907 27.020085 16.587888
Au 4.461798 38.973751 27.681787
Au 48.495965 -5.425581 -5.599909
Au 54.239552 35.558418 69.838602
Au 8.290856 32.143085 47.650804
Au -1.281789 1.405085 38.775686
Au 33.179733 -7.133248 -7.818689
Au -3.196318 32.143085 29.900567
Au 54.239552 1.405085 47.650804
Au 17.863501 30.435418 -1.162349
Au 0.632740 27.020085 74.276161
Au -16.598021 4.820418 32.119346
Au 6.376327 38.973751 3.275210
Au 33.179733 4.820418 3.275210
Au -5.110847 -8.840915 38.775686
Au 14.034443 -2.010248 47.650804
Au -5.110847 -2.010248 60.963483
Au -8.939905 49.219751 16.587888
Au 2.547269 54.342751 69.838602
Au 6.376327 42.389085 25.463007
Au -18.512550 54.342751 58.744703
Au 19.778030 9.943418 12.150329
Au -16.598021 20.189418 67.619822
Au -5.110847 21.897085 63.182262
Au 37.008791 38.973751 25.463007
Au 48.495965 16.774085 18.806668
Au -7.025376 50.927418 49.869584
Au -3.196318 -0.302582 3.275210
Au 14.034443 9.943418 -10.037468
Au -5.110847 13.358752 36.556906
Au 29.350675 15.066418 58.744703
